program,status,headline
P365,[Proven] independent exact-arithmetic recomputation; [Blocked] proof-assistant kernel checking of numerical certificates,an independent exact engine reproduces the Release-10.31 certificates
P366,[Proven] tightened exact rational primal-dual enclosure,a seven-atom cell and deeper Bernstein tree tighten both bounds
P367,[Blocked by external evidence] P367 QW hold-out not admitted,the independent QW hold-out remains external
P368,[Proven] maximal k-equivalence category; exhaustive diameter<=4 identification,the maximal radial naturality category is the k-distance quotient
P369,[Moderate evidence] component-level synthetic identifiability and robustness audit,complex transfer tomography is locally identifiable; intensities are ill-conditioned
P370,[Blocked by external evidence] no calibrated P370 photonic pilot bundle,no calibrated photonic pilot is admitted
P371,[Proven] unrestricted adaptive optimum through the first perfect time,an angle-budget theorem solves the full ideal adaptive comb
P372,[Blocked by external evidence] no traceable P372 clock anchor,no traceable external clock anchor is admitted
P373,[Proven] five operational data-processing monotones; [Conditional] FIN encodings,five operational data-processing monotones are constructed conditionally
P374,[Proven] noncanonical outer analytic extension family,a damped outer analytic family exists but is noncanonical
P375,[Blocked by external evidence] P375 conditional EW blind test not admitted,the conditional electroweak blind gate remains external
P376,[Blocked by external evidence] P376 conversion standards absent,the dimensional standards gate remains external
P377,[Proven] free commutative-monoid universality of the resource skeleton; [Refuted] unique operational universality,FORC is free as resource syntax but not unique as empirical physics
P378,[Blocked by external evidence] no P378 reservoir process-tomography bundle,no reservoir process-tomography bundle is admitted
