size,combination,base_puzzles,common_operation,derived_candidate,object_space,new_observable,new_dynamics,status,screening_verdict
1,C01,strict oscillatory-damped kernel,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C02,legacy intermediate bridge profile,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C03,positive graph Laplacian A,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C04,unitary/heat dual functional calculus,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C05,Green/resolvent/action reconstruction,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C06,orientation cocycle and chiral receivers,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C07,fractal Schur compression,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C08,adaptive operator and memory law,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C09,information/entropy geometry,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C10,operational process tuple,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C11,dimensional-scale obstruction,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
1,C12,selector/source obstruction,base object only,No derivative at generation 1,declared base characteristic,none beyond the base puzzle,none beyond the base puzzle,[Proven],Input inventory item
2,C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,compare a declared completion map with strict projective shape,Legacy-Strict Completion Defect,residual/obstruction space between kernel families,completion residual and role-safe mismatch,none unless a typed completion flow is supplied,[Proven],Typed derivative generated
2,C01+C03,strict oscillatory-damped kernel + positive graph Laplacian A,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C01+C04,strict oscillatory-damped kernel + unitary/heat dual functional calculus,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C01+C05,strict oscillatory-damped kernel + Green/resolvent/action reconstruction,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C01+C06,strict oscillatory-damped kernel + orientation cocycle and chiral receivers,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C01+C07,strict oscillatory-damped kernel + fractal Schur compression,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C01+C08,strict oscillatory-damped kernel + adaptive operator and memory law,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C01+C09,strict oscillatory-damped kernel + information/entropy geometry,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C01+C10,strict oscillatory-damped kernel + operational process tuple,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C01+C11,strict oscillatory-damped kernel + dimensional-scale obstruction,quotient positive generator rescaling,Projective Spectral Fingerprint,ordered eigenvalue-ratio simplex,scale-free spectral ratios,none beyond the inferred dimensionless generator ray,[Proven],Typed derivative generated
2,C01+C12,strict oscillatory-damped kernel + selector/source obstruction,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C03,legacy intermediate bridge profile + positive graph Laplacian A,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C04,legacy intermediate bridge profile + unitary/heat dual functional calculus,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C05,legacy intermediate bridge profile + Green/resolvent/action reconstruction,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C06,legacy intermediate bridge profile + orientation cocycle and chiral receivers,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C07,legacy intermediate bridge profile + fractal Schur compression,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C08,legacy intermediate bridge profile + adaptive operator and memory law,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C09,legacy intermediate bridge profile + information/entropy geometry,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C10,legacy intermediate bridge profile + operational process tuple,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C11,legacy intermediate bridge profile + dimensional-scale obstruction,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C02+C12,legacy intermediate bridge profile + selector/source obstruction,no typed common operation in the declared finite grammar,No admitted derivative,not constructed,not constructed,not constructed,[Refuted],Visual juxtaposition alone was rejected
2,C03+C04,positive graph Laplacian A + unitary/heat dual functional calculus,holomorphic/Borel functional calculus of one positive generator,Dual Spectral Ray,commutative operator algebra generated by A,spectral response along real and imaginary time rays,unitary group plus heat semigroup,[Proven],Typed derivative generated
2,C03+C05,positive graph Laplacian A + Green/resolvent/action reconstruction,operator inversion followed by stationary-action reconstruction,Quadratic Green Action,quadratic forms on the zero-mode quotient or a regulated Hilbert space,source response and on-shell quadratic value,gradient flow or Hamiltonian flow only after an explicit temporal rule,[Proven],Typed derivative generated
