program,status,main_result,boundary
P255,[Proven],all 4094 nontrivial contexts satisfy the finite Stieltjes measure theorem,"finite operator theorem, not physical environment"
P256,[Proven],minimal pole-residue realization identified; decoupled hidden modes are invisible,microscopic hidden sector remains nonunique
P257,[Proven],contravariant Schur context category and composition certificate,no sheaf or quantum contextuality theorem
P258,[Proven],"closed Xi formula, covariance and norm bound","orientation receiver, not selector source"
P259,[Proven] no-cycle for the declared strict-decimation category; [Moderate evidence] descriptor audit,no fixed point/cycle in strictly size-decreasing context category,size-restoring RG equivalence still missing
P260,[Proven] for the declared classical instrument ledger,multi-step environment/record/conditional information ledger,not thermodynamic entropy or energy
P261,[Proven] amplitude-only completion obstruction,amplitude-only legacy completion fails positive Stieltjes class,not a no-go for richer completion maps
P262,[Strong evidence] synthetic planning audit; external experiment not executed,projective-first then independent-scale synthetic protocol,P242 external execution remains blocked
P263,[Proven] vertex-POVM no-go and current-observable construction; [Strong evidence] synthetic Xi protocol,vertex POVM current no-go and phase-sensitive instrument construction,apparatus implementation remains external
P264,[Proven] finite false-positive atlas for frozen ensembles and thresholds,generic versus specific atlas properties quantified,rates are conditional on frozen null ensembles
P265,[Proven] identifiability quotient and exact scale-clock no-go; [Strong evidence] synthetic diagnostic table,scale-clock identifiability quotient and multi-time diagnostic separation,no unique adaptive update law
P266,[Strong evidence] controlled computational benchmark,matched 12-state reservoir benchmark,no biological ontology from computational analogy
