object_id,derived_object,source_combination,mathematical_form,novelty_0_5,mathematical_rigor_0_5,FIN_relation_0_5,falsifiability_0_5,overinterpretation_risk_0_5,status
O01,Dynamic Spectral Compression Kernel,C03+C05+C07,Sigma_E(z)=A_EH(zI+A_HH)^(-1)A_HE,4,5,5,5,2,[Proven]
O02,Frequency-Dependent Effective Action,C03+C05+C07,"S_z[x]=1/2<x,(zI+A_EE-Sigma_E(z))x>-<j,x>",3,5,5,5,2,[Proven]
O03,Resolvent Context Presheaf,C05+C07+C10,"E maps to Schur_E(zI+A), inclusions map to nested Schur restrictions",4,5,4,5,2,[Proven]
O04,Chiral Spectral Response Bundle,C03+C06+C12,"(M_R(rho), Lambda(rho,A), C_chi(rho), Im B(rho))",3,4,5,5,3,[Strong evidence]
O05,Chiral Memory Susceptibility,C06+C07+C10,"Xi_E(z)=partial_theta Sigma_E(z,theta)|_0",4,4,4,5,3,[Strong evidence]
O06,Heat Information Metric Tower,C03+C04+C09,"D_t(x,y)^2=sum_z |P_t(x,z)-P_t(y,z)|^2/pi_z",2,5,4,4,3,[Proven]
O07,Operational Calibration Torsor,C10+C11,"(A,tau)~(cA,tau/c)",2,5,5,5,2,[Proven]
O08,Projective Spectral Fingerprint,C01+C03+C11,"(lambda_1/lambda_max,...,lambda_11/lambda_max)",2,5,5,5,2,[Proven]
O09,Information Contraction Ledger,C04+C09+C10,"L_t(p,q)=D(p||q)-D(P_t p||P_t q)",2,5,4,5,4,[Proven]
O10,Dual-Ray Reduced Process Tensor,C04+C07+C10,"T_r[M_1,...,M_r] on projected U and P rays",3,3,5,5,3,[Moderate evidence]
O11,Adaptive Memory Geometry Flow,C08+C09+C10,"(dot A,dot q)=(-grad_A L,-grad_F L) with process-memory likelihood",4,2,3,3,5,[Speculative]
O12,Multiscale Memory Functor,C05+C07+C08,nested Sigma^(n)(z) with associative Schur composition,4,4,4,4,3,[Strong evidence]
O13,Legacy-Strict Completion-Defect Tower,C01+C02+C07,Delta_n=K_strict^(n)-C_n[K_legacy^(n)],3,4,5,5,2,[Moderate evidence]
O14,Spectral Asymmetry Transport Cost,C06+C09+C12,"inf_{Phi covariant, Phi(rho)=sigma} Cost(Phi)",3,3,4,4,4,[Moderate evidence]
O15,Two-Torsor Physicalization Bundle,C10+C11+C12,scale torsor x orientation torsor with separate operational sections,2,4,5,5,2,[Strong evidence]
