program,object,status,boundary,packet_file,packet_sha256
ST417,Explicit Degree-Eight Syzygy Basis Attempt,resource_bounded_failure_exact_136_lower_bound_retained,A modular kernel would not by itself prove a characteristic-zero relation basis; no such promotion is made.,FIN_ST417_Degree8_Explicit_Syzygy_Attempt.json,cc735dad56c52035f441e63bbbe4e0d89d5ebe0e12206bf0d903e51a69f534aa
ST418,Global Gain-Transition Enclosure,proven_global_transition_enclosed_between_uniform_and_localized_regimes,The enclosure does not prove a unique transition or identify the branch-local crossing as global; g remains supplied.,FIN_ST418_Global_Gain_Transition_Enclosure.json,ebd8ef968e4fa96e52fd16806c887b0022889507bfa30e3de014396030d9b3e1
ST419,Singular Continuation to the Compactified IR Face,proven_unique_one_sided_branch_attachment,"This is a theorem for a supplied dimensionless optimization family, not a physical IR transition or generated scale.",FIN_ST419_Singular_IR_Attachment_Theorem.json,06ace1e6395cccc074f9a3cc7b9edec68628010087a2f98c1b8b4e2192f81af3
ST420,Enlarged Global Localized-Gain Tube,proven_exact_twelve_minimum_orbit_on_doubled_gain_tube,The tube is local near the supplied g=4 and neither sources gain nor reaches the global transition.,FIN_ST420_Localized_Gain_Tube_Enlargement.json,1c01a9e17829382a16b9288e3891550ce421893e681cadb57225e50a70961550
ST421,Local Interval Atlas of Nine Stationary D12 Orbits,proven_nine_local_roots_and_Morse_indices_nonexhaustive,Local uniqueness of nine supplied roots does not prove that no further stationary orbit exists.,FIN_ST421_Stationary_Orbit_Interval_Atlas.json,fb7b7ecb1abe2560fbe2dbe5d1944eeb052bcf7a94c561834c88fdedbfd8858b
ST422,Numerical Morse Barrier Graph,strong_numerical_connections_from_certified_index_one_saddles,Finite-time gradient integration cannot prove a heteroclinic connection or landscape completeness.,FIN_ST422_Numerical_Morse_Barrier_Graph.json,595bf7cec0f263d185b79b266493bf6ae7cde3e92431e922bb4ff221e932705f
ST423,Enlarged IR Topology Cover Audit,partial_two_certified_root_tubes_full_topology_open,Root uniqueness inside declared boxes is not a proof that no additional roots occur outside them.,FIN_ST423_Enlarged_IR_Topology_Audit.json,6bd70da03abfd58bd2b06d7229886ef95935c388c27406c793dcaa56ace900b3
ST424,Joint Odd/Even D12 Invariant Presentation through Degree Six,proven_exact_modular_joint_generator_quotients_through_degree6,Finite-field quotient ranks are exact in the declared characteristic; a complete characteristic-zero ring presentation is not claimed.,FIN_ST424_Odd_and_Even_Invariant_Presentation.json,7a32ce509994e33fc2699e14808f50c56a10985d0c9948cb07f6e8e55ca383d1
ST425,Optimized Synthetic Sextic Measurement Design,strong_numerical_conditioning_improvement,The design points and noise model are synthetic; this is not an apparatus or laboratory calibration.,FIN_ST425_Optimized_Noisy_Invariant_Design.json,816a096e70e7dba8060e5cab8295cf66d4733b7a0ace9f914da775cf3baa6e87
ST426,Chernoff Gap Sharpness Audit,certified_upper_contraction_with_numerical_spectral_comparison,The transfer fixture is synthetic and discretized eigenvalues are not an interval spectrum theorem.,FIN_ST426_Chernoff_Gap_Sharpness_Audit.json,dc36aef2b3c15463cfd4a7015e0bef7e09db068abcb0d29d216c4062b731ec60
ST427,Nonlinear Local-Flow Robustness Theorem,proven_conditional_input_to_state_stability_bound,"The forcing, time variable, and basin are supplied dimensionless objects; no physical environment is derived.",FIN_ST427_Nonlinear_Local_Flow_Robustness.json,32dc8b381be7fa943fea24c7d7592ecbb214473f862798a5b9868bbc3114f3c8
ST428,Rank-Seven Sign-Aware Envelope Audit,blocked_mixed_sign_envelope_does_not_close_global_gap,Shared eigenvalues do not license transfer of the strict positive-weight global proof.,FIN_ST428_Rank7_Sign_Aware_Envelope_Audit.json,0d59db78844148bc7036faf5614bc9db85f845a7f3579b2d86de5ab5b0a95b8f
ST429,Gain-Source Admission Gate,blocked_no_new_strict_gain_source,The orbit and transition theorems remain conditional on supplied gain.,FIN_ST429_Gain_Source_Admission_Gate.json,cf7f5896bbedd6d353c07305619d9b7c379ed0deb5747f537f4d224efad99df5
ST430,Selector-Source Admission Gate,blocked_no_new_selector_provider,"No strict-core orientation, orbit member, or QW-2191 discharge is claimed.",FIN_ST430_Selector_Source_Admission_Gate.json,7d567540632a82cc2e6e2408e8995cfecc96ed122e53b2ad83ef4eabe4ca4f8d
ST431,Independent Evidence Gate,gate_remains_open_local_work_only,Analytic and computational work on repository-defined objects cannot manufacture external evidence.,FIN_ST431_Independent_Evidence_Gate.json,ba31bc61e26dad0ba141b859c526b0e2febd051e5214ec312c08710f453eba4a
