packet,report_id,status,scope,as_of
P1340,p1340_p1340_report_v1,CLOSED_CONDITIONAL_ON_KP1,declared_strict_release8,2026-05-12
P1341,p1341_p1341_report_v1,UNCONDITIONAL_NOT_EXPORTABLE_WITHOUT_SELECTOR_SOURCE,boundary_theorem,2026-05-12
P1342,p1342_p1342_report_v1,CLOSED_FULL_AXIOM_APPROVED_SB1,axiom_lane,2026-05-12
P1343,p1343_p1343_report_v1,CLOSED_FULL_STRICT_INTERNAL_SOURCE_V1,strict_internal_source_lane,2026-05-12
P1344,p1344_p1344_report_v1,STRICT_INTERNAL_SOURCE_VALIDATED_V1_PASS,stress_validation,2026-05-12
P1345,p1345_p1345_report_v1,STRICT_INTERNAL_SOURCE_REPLICATED_NO_REPRODUCIBLE_COUNTEREXAMPLE,independent_replication,2026-05-12
P1346,p1346_p1346_report_v1,CLOSED_FULL_STRICT_INTERNAL_SOURCE_V1_LONG_HORIZON_STABLE,long_horizon_audit,2026-05-12
P1347,p1347_p1347_report_v1,STRICT_HOST_LEVEL_IDENTIFICATION_EXPORTED_DECLARED_SCOPE_V1,host_identification,2026-05-12
P1348,p1348_p1348_report_v1,GLOBAL_CLOSURE_THEOREM_EXPORTED_CLOSED_DECLARED_SCOPE,global_theorem_packaging,2026-05-12
P1349,p1349_p1349_report_v1,EXTERNAL_BLIND_AUDIT_PROTOCOL_EXPORTED_EXECUTION_PENDING,external_audit_protocol,2026-05-12
