number,title,filename,category,category_name,has_optimization,is_verified,is_breakthrough,is_zadanie,file_size,reasoning
0.1,MATHEMATICAL CONSISTENCY ✅ VERIFIED,0.1 MATHEMATICAL CONSISTENCY ✅ VERIFIED.py,A,Pure (no fitting),False,True,False,False,96765,Verified/confirmed without optimization
0.2,CRITICAL REVIEW OF THE THEORY,0.2 CRITICAL REVIEW OF THE THEORY.py,A,Pure (no fitting),False,False,False,False,115012,Analytical approach without optimization
0.3,NON-TRIVIAL GROUND STATE DISCOVERY,0.3 NON-TRIVIAL GROUND STATE DISCOVERY.py,A,Pure (no fitting),False,False,False,False,152529,Analytical approach without optimization
0.4,IN-DEPTH ANALYSIS OF PROVIDED SOLUTION & REPORT,0.4 IN-DEPTH ANALYSIS OF PROVIDED SOLUTION & REPORT.py,A,Pure (no fitting),False,False,False,False,179746,Analytical approach without optimization
0.5,SENSITIVITY ANALYSIS OF MASS HIERARCHY GENERATION MECHANISMS,0.5 SENSITIVITY ANALYSIS OF MASS HIERARCHY GENERATION MECHANISMS.py,A,Pure (no fitting),False,False,False,False,81128,Analytical approach without optimization
0.6,DEVELOPMENT OF NUMERICALLY STABLE SOLVER FOR FRACTAL SUPERSOLITON THEORY OF EVERYTHING,0.6 DEVELOPMENT OF NUMERICALLY STABLE SOLVER FOR FRACTAL SUPERSOLITON THEORY OF EVERYTHING.py,D,Speculative,True,False,False,False,91339,Uses optimization without clear success markers
0.7,IMPLEMENTACJA STABILNEGO SOLWERA DLA MODELU KREACJI POPRZEZ REZONANSOWE SAMOSPRZĘŻENIE FRAKTALNEGO SUPERSOLITONA,0.7 IMPLEMENTACJA STABILNEGO SOLWERA DLA MODELU KREACJI POPRZEZ REZONANSOWE SAMOSPRZĘŻENIE FRAKTALNEGO SUPERSOLITONA.py,D,Speculative,True,False,False,False,149210,Uses optimization without clear success markers
0.8,DYNAMIC STABILIZATION VS POTENTIAL STABILIZATION COMPARISON,0.8 DYNAMIC STABILIZATION VS POTENTIAL STABILIZATION COMPARISON.py,D,Speculative,True,False,False,False,151221,Uses optimization without clear success markers
0.9,created production-ready script,0.9 created production-ready script.py,A,Pure (no fitting),False,False,False,False,164394,Analytical approach without optimization
1,NON-TRIVIAL EMERGENT GAUGE STRUCTURE CONFIRMED,1 NON-TRIVIAL EMERGENT GAUGE STRUCTURE CONFIRMED.py,D,Speculative,True,True,False,False,104514,Uses optimization without clear success markers
2,Resonant Coupling,2 Resonant Coupling.py,D,Speculative,True,False,False,False,109156,Uses optimization without clear success markers
3,Hierarchical Resonant Coupling for SM Mass Spectrum Reproduction,3 Hierarchical Resonant Coupling for SM Mass Spectrum Reproduction.py,D,Speculative,True,False,False,False,109173,Uses optimization without clear success markers
4,COMPREHENSIVE WILSON LOOP ANALYSIS: Emergent Gauge Symmetry in Supersoliton Model,4 COMPREHENSIVE WILSON LOOP ANALYSIS: Emergent Gauge Symmetry in Supersoliton Model.py,D,Speculative,True,False,False,False,86484,Uses optimization without clear success markers
5,LINKING EMERGENT GAUGE STRUCTURE TO BOSON MASSES VIA THE HIGGS MECHANISM,5 LINKING EMERGENT GAUGE STRUCTURE TO BOSON MASSES VIA THE HIGGS MECHANISM.py,D,Speculative,True,False,False,False,101803,Uses optimization without clear success markers
6,VERIFICATION OF POWER LAW AND GOLDEN ANGLE RESONANCES IN SUPERSOLITON MODEL,6 VERIFICATION OF POWER LAW AND GOLDEN ANGLE RESONANCES IN SUPERSOLITON MODEL.py,D,Speculative,True,False,False,False,109146,Uses optimization without clear success markers
7,Unified Field Analysis,7 Unified Field Analysis.py,D,Speculative,True,False,False,False,95385,Uses optimization without clear success markers
8,Supersoliton Particle Zoo and Gravitational Profile Calculation,8 Supersoliton Particle Zoo and Gravitational Profile Calculation.py,D,Speculative,True,False,False,False,67767,Uses optimization without clear success markers
9,TWO-LEVEL OPTIMIZATION FOR EINSTEIN CONSISTENCY: COMPUTATIONAL FEASIBILITY ANALYSIS,9 TWO-LEVEL OPTIMIZATION FOR EINSTEIN CONSISTENCY: COMPUTATIONAL FEASIBILITY ANALYSIS.py,D,Speculative,True,False,False,False,24046,Uses optimization without clear success markers
10,PHASE III: ANALYTICAL SELF-CONSISTENT ANSATZ ,10 PHASE III: ANALYTICAL SELF-CONSISTENT ANSATZ .py,D,Speculative,True,False,False,False,160060,Uses optimization without clear success markers
11,EMERGENT GAUGE FIELD ANATOMY AND SU(2) SEARCH,11 EMERGENT GAUGE FIELD ANATOMY AND SU(2) SEARCH.py,D,Speculative,True,False,False,False,206737,Uses optimization without clear success markers
12,IMPLEMENTING ISOSPIN SU(2) STRUCTURE FOR ELECTROWEAK UNIFICATION,12 IMPLEMENTING ISOSPIN SU(2) STRUCTURE FOR ELECTROWEAK UNIFICATION.py,D,Speculative,True,False,False,False,221685,Uses optimization without clear success markers
13,ELECTROWEAK UNIFICATION VIA DYNAMIC FIELD MIXING,13 ELECTROWEAK UNIFICATION VIA DYNAMIC FIELD MIXING.py,D,Speculative,True,False,False,False,238236,Uses optimization without clear success markers
14,SU(3) SPONTANEOUS SYMMETRY BREAKING IN SUPERSOLITON MODEL,14 SU(3) SPONTANEOUS SYMMETRY BREAKING IN SUPERSOLITON MODEL.py,D,Speculative,True,False,False,False,207272,Uses optimization without clear success markers
15,UNIFIED ELECTROWEAK MODEL VIA SELF-CONSISTENT DYNAMICS,15 UNIFIED ELECTROWEAK MODEL VIA SELF-CONSISTENT DYNAMICS.py,D,Speculative,True,False,False,False,209916,Uses optimization without clear success markers
16,RUNNING COUPLING CALIBRATION ANALYSIS WITH NEGATIVE BUT SCIENTIFICALLY VALUABLE RESULTS,16 RUNNING COUPLING CALIBRATION ANALYSIS WITH NEGATIVE BUT SCIENTIFICALLY VALUABLE RESULTS.py,D,Speculative,True,False,False,False,204790,Uses optimization without clear success markers
17,UNIFIED FIELD GEOMETRY BREAKTHROUGH - MAJOR SUCCESS,17 UNIFIED FIELD GEOMETRY BREAKTHROUGH - MAJOR SUCCESS.py,C,With fitting (valuable),True,True,True,False,207658,Uses optimization but breakthrough/success
18,UNIFIED FIELD THEORY: SU(3)×SU(2)×U(1) EMERGENCE FROM SINGLE COUPLING KERNEL,18 UNIFIED FIELD THEORY: SU(3)×SU(2)×U(1) EMERGENCE FROM SINGLE COUPLING KERNEL.py,D,Speculative,True,False,False,False,209024,Uses optimization without clear success markers
19,UNIFIED GEOMETRODYNAMIC SUPERSOLITON THEORY: COMPLETE IMPLEMENTATION MAJOR BREAKTHROUGH,19 UNIFIED GEOMETRODYNAMIC SUPERSOLITON THEORY: COMPLETE IMPLEMENTATION MAJOR BREAKTHROUGH.py,C,With fitting (valuable),True,False,True,False,212050,Uses optimization but breakthrough/success
20,HYDRODYNAMIC PROPERTIES OF INFORMATION SUPERSOLITON AND VORTEX-PARTICLE CORRESPONDENCE,20 zadań quick win.py,D,Speculative,True,False,False,False,142415,Uses optimization without clear success markers
21,MULTI-OCTAVE INFORMATION ECHO RESONANCE ANALYSIS,21 MULTI-OCTAVE INFORMATION ECHO RESONANCE ANALYSIS.py,D,Speculative,True,False,False,False,146971,Uses optimization without clear success markers
23,PHASE XIV: TURBULENT EXPLOSION PARADIGM ,23 PHASE XIV: TURBULENT EXPLOSION PARADIGM .py,D,Speculative,True,False,False,False,124149,Uses optimization without clear success markers
24,GEOMETRODYNAMIC-HYDRODYNAMIC SUPERSOLITON MODEL: FROM QUANTUM POTENTIAL TO EMERGENT COSMOLOGY,24 GEOMETRODYNAMIC-HYDRODYNAMIC SUPERSOLITON MODEL: FROM QUANTUM POTENTIAL TO EMERGENT COSMOLOGY.py,D,Speculative,True,False,False,False,142223,Uses optimization without clear success markers
25,MASS HIERARCHY GENERATION VIA UNIVERSAL HYDRODYNAMIC COUPLING KERNEL,25 MASS HIERARCHY GENERATION VIA UNIVERSAL HYDRODYNAMIC COUPLING KERNEL.py,D,Speculative,True,False,False,False,132853,Uses optimization without clear success markers
26,SAMOUZGODNIONA OPTYMALIZACJA HYDRODYNAMICZNEGO JĄDRA SPRZĘŻEŃ: Pełna Hierarchia Mas Leptonów,26 SAMOUZGODNIONA OPTYMALIZACJA HYDRODYNAMICZNEGO JĄDRA SPRZĘŻEŃ: Pełna Hierarchia Mas Leptonów.py,D,Speculative,True,False,False,False,138759,Uses optimization without clear success markers
27,"WERYFIKACJA HIERARCHII MAS I SIŁ JAKO EMERGENTNYCH WŁAŚCIWOŚCI ZUNIFIKOWANEGO, HYDRODYNAMICZNEGO JĄDRA SPRZĘŻEŃ","27 WERYFIKACJA HIERARCHII MAS I SIŁ JAKO EMERGENTNYCH WŁAŚCIWOŚCI ZUNIFIKOWANEGO, HYDRODYNAMICZNEGO JĄDRA SPRZĘŻEŃ.py",D,Speculative,True,False,False,False,129196,Uses optimization without clear success markers
28,FULL LEPTON MASS HIERARCHY VIA NONLINEAR HYDRODYNAMIC COUPLING,28 FULL LEPTON MASS HIERARCHY VIA NONLINEAR HYDRODYNAMIC COUPLING.py,D,Speculative,True,False,False,False,119854,Uses optimization without clear success markers
30,PHASE V: COMPLETE GEOMETRODYNAMIC SYNTHESIS - NON-MONOTONIC SCALING LAWS AND FORCE-MASS UNIFICATION,30 PHASE V: COMPLETE GEOMETRODYNAMIC SYNTHESIS - NON-MONOTONIC SCALING LAWS AND FORCE-MASS UNIFICATION.py,D,Speculative,True,False,False,False,140572,Uses optimization without clear success markers
31,PHASE VI: ULTIMATE CALIBRATION - FINAL ANSWER,31 PHASE VI: ULTIMATE CALIBRATION - FINAL ANSWER.py,D,Speculative,True,False,False,False,130941,Uses optimization without clear success markers
34,ASSESSMENT OF PHASE VI.3 REQUEST: Fast Prototype Development,34 ASSESSMENT OF PHASE VI.3 REQUEST: Fast Prototype Development.py,D,Speculative,True,False,False,False,75374,Uses optimization without clear success markers
35,PHASE VIII: FEEDBACK COUPLING INVESTIGATION ,35 PHASE VIII: FEEDBACK COUPLING INVESTIGATION .py,D,Speculative,True,False,False,False,98873,Uses optimization without clear success markers
39,PHASE X.2: PRECYZYJNA KALIBRACJA MASY TAU W REŻIMIE STABILNEJ HIERARCHII SIL,39 PHASE X.2: PRECYZYJNA KALIBRACJA MASY TAU W REŻIMIE STABILNEJ HIERARCHII SIL.py,D,Speculative,True,False,False,False,136634,Uses optimization without clear success markers
40,PHASE XI: COMPREHENSIVE SCIENTIFIC VERDICT ON SELF-CONSISTENT FIELD OPTIMIZATION,40 PHASE XI: COMPREHENSIVE SCIENTIFIC VERDICT ON SELF-CONSISTENT FIELD OPTIMIZATION.py,D,Speculative,True,False,False,False,110591,Uses optimization without clear success markers
44,FOUR HIGH-PROBABILITY RESEARCH TASKS FROM FRACTAL SUPERSOLITON THEORY,44 FOUR HIGH-PROBABILITY RESEARCH TASKS FROM FRACTAL SUPERSOLITON THEORY.py,A,Pure (no fitting),False,False,False,False,71347,Analytical approach without optimization
45,IMPLEMENTATION OF UNIFIED HAMILTONIAN WITH DOUBLE-VALLEY MECHANISM,45 IMPLEMENTATION OF UNIFIED HAMILTONIAN WITH DOUBLE-VALLEY MECHANISM.py,D,Speculative,True,False,False,False,117386,Uses optimization without clear success markers
46,FAZA XVI: ITERACYJNA KALIBRACJA ZUNIFIKOWANEJ TEORII POLA ,46 FAZA XVI: ITERACYJNA KALIBRACJA ZUNIFIKOWANEJ TEORII POLA .py,D,Speculative,True,False,False,False,75313,Uses optimization without clear success markers
47,PODSUMOWANIE WYKONANIA 10 ZADAŃ KONTYNUACYJNYCH TEORII SUPERSOLITONA,47 PODSUMOWANIE WYKONANIA 10 ZADAŃ KONTYNUACYJNYCH TEORII SUPERSOLITONA.py,D,Speculative,True,False,False,False,114497,Uses optimization without clear success markers
48,ZADANIE A2: MAPOWANIE PRZESTRZENI FAZOWEJ DLA HIERARCHII SPRZĘŻEŃ,48 ZADANIE A2: MAPOWANIE PRZESTRZENI FAZOWEJ DLA HIERARCHII SPRZĘŻEŃ.py,D,Speculative,True,False,False,True,67284,Uses optimization without clear success markers
49,"MULTI-TASK ANALYSIS: ZADANIE B2, C1, D1, E1","49 MULTI-TASK ANALYSIS: ZADANIE B2, C1, D1, E1.py",D,Speculative,True,False,False,True,126930,Uses optimization without clear success markers
50,ZADANIE 11: Metryka z A_μ i test Poissona oraz zadanie 29,50 ZADANIE 11: Metryka z A_μ i test Poissona oraz zadanie 29.py,D,Speculative,True,False,False,True,139408,Uses optimization without clear success markers
51,Asymetryczne fazy CP z liczb wirowych,51 Asymetryczne fazy CP z liczb wirowych.py,D,Speculative,True,False,False,False,143757,Uses optimization without clear success markers
52,ZADANIE QW1-QW5,52 ZADANIE QW1-QW5.py,D,Speculative,True,False,False,True,67010,Uses optimization without clear success markers
