program,object,status,boundary,packet_sha256
ST402,Independent Exact Global-Minimizer Orbit Replay,proven_independent_exactly_twelve_global_minima,The theorem neither sources g=4 nor chooses an orbit member; QW-2191 and physical interpretation remain open.,a23ac440e59aad310d56751c49d01626442e4a362da682cc0bef571f15ee1091
ST403,Abstract Finite Orbit-Exhaustion Theorem,proven_abstract_theorem_and_necessity_counterexamples,"The theorem is a reusable variational statement; it contains no physical selector, dimensional scale, or source law.",29a40b1317347c3ece7075c95192c53800fba39a5c5cd3c908b44b668c41e95e
ST404,Exact Stabilizer and Orbit-Size Certificate,proven_exact_reflection_stabilizer_order_two,A stabilizer theorem describes degeneracy; it does not select one of the twelve translates.,e93ec38e043ae7dc2730932390f7cad2cef6021eb5bfde90ecafcbd2c7a74bb3
ST405,Uniform Nonzero Gain-Persistence Tube,proven_uniform_twelve_minimum_orbit_on_gain_interval,"The interval is a robustness theorem, not a strict derivation of any gain or a physical phase interval.",167b8a2575db78bec7667b218f66262cc6aa935cc38a60226be28eebeb6c76b8
ST406,Global Gain-Transition Audit,partial_existential_global_transition_full_classification_open,The local coexistence point must not be called the physical or global critical gain.,a8b32471cbdd2dd9335c15c5fefc8baf35aa3f3b5b2150f3962c8df1d129d1f4
ST407,Certified Core and Sampled Morse Landscape at g=4,two_certified_minimum_orbits_plus_nonexhaustive_numerical_saddles,No sampled saddle count or Morse index is promoted to a complete landscape theorem.,a3883e98e67b454c3e179074b8c520fb392a96011667ba261169a5678056fd06
ST408,Explicit Local Basin for a Declared Projected Gradient Flow,proven_conditional_local_forward_invariance_and_exponential_convergence,"The gradient law, its time parameter, gain, and preparation are premises.  No Born weights or physical basin probabilities follow.",512783cd5b6ec310177dae39027eb63505b87b6534c16125efa0787a14c4e16c
ST409,Gain-Source Admission Gate,blocked_no_new_strict_gain_source,Do not infer a source from the fact that a supplied gain has mathematically interesting consequences.,9d75ef77cf4a3e5f3f03771b6bdb1cc1dec9e361e1bf421073d5f017909f9b75
ST410,Rank-Seven Replacement-Envelope Audit,bounded_no_go_for_strict_positive_weight_and_cap_methods,"This rejects two proof mechanisms, not global minimality of the rank-seven state.",fe5738350f2ad87f11f73bf4075d5e08a43d1b4bc359deca159eca52cfe96b0c
ST411,First Forced Relations in the D12 Invariant Generator Family,proven_at_least_136_degree8_syzygies_by_rank_nullity,No explicit minimal relation basis or full invariant-ring presentation is claimed.,026ad2dbfd7d3cd84164edc2a7c91eb67dab09666599794be4a602eeb49a5918
ST412,Noise-Aware Sextic Invariant Coefficient Rank,exact_algebraic_rank_with_numerical_noise_conditioning_warning,The design and noise are synthetic; no laboratory instrument or measured coefficient is supplied.,71ff37ab45e83bfdf0845aefa7acd080e8ae9b22c3697932efdaff85a55e0850
ST413,Adapted-Metric Chernoff Cone Gap,proven_conditional_gap_improved_by_over_69_orders,The HMM and Chernoff fixture remain synthetic and are not a FIN-derived detector.,221d9b077d191f28dd081d2cfccc853aba7a2f812eb20e4dd53de860bdab84da
ST414,Expanded Uniform Continuum-IR Krawczyk Tube,proven_unique_root_tube_55_times_wider_in_parameters,Maximality is only relative to the fixed center/radius template.  A full complement-sign topology cover is not re-certified on the enlarged box.,7e10b342cd3e09d80173c64c88d91a3eee554f6619b03a63be1faf5a989abbf5
ST415,Certified Limiting Face for Continuum-IR Upper-Band Loss,proven_unique_limiting_face_root_branch_attachment_numerical,"The boundary is a supplied dimensionless optimization transition, not a physical phase transition or IR scale.",a2742e008d2b25127481067b21955fa2e4e1ffee5c91843ca958cf7d9f433459
ST416,Strict-Source and Independent-Evidence Gates,gates_remain_open_despite_new_local_mathematics,Local analytic and computational work cannot manufacture external evidence.,e966eb5ac4b7d2825144c941f202042a2945c919959f377add1d8fc797300f89
