program,status,new_object,boundary
P411,[Proven] exact Taylor-polynomial algorithm reflected by Lean; [Open] in-assistant analytic cosine bridge,O143 Taylor trust lattice,The dependency-free file types the analytic alternating-remainder theorem as AnalyticCosineBridge; it does not formalize real cosine itself.
P412,[Strong evidence] simultaneous seven-contact KKT candidate; [Open] 25-variable interval uniqueness and global feasibility,O144 simultaneous contact replacement candidate,A high-precision stationary point is not an interval theorem. Ill-conditioning and global polynomial feasibility still require exact Krawczyk/Bernstein certification.
P413,[Proven] proof-assistant dependency localization; [Blocked] local formal Lindemann-Weierstrass library,O145 transcendence provider boundary,"This is dependency localization, not a formal proof of Lindemann-Weierstrass and not an additional FIN axiom."
P414,[Refuted] target C_damp arises from the declared normalized nonlinear RG recurrence,O146 nonlinear RG-recurrence obstruction,"This excludes one nonlinear cocycle/flow class only. Fractional, nonlocal, state-dependent, and operator-valued sources remain open."
P415,[Strong evidence] full local rank on a sampled bounded chart; [Open] global interval identifiability or alias,O147 sampled photonic regularity atlas,Finite floating-point regularity samples do not cover the continuum box and cannot exclude distant compensating aliases.
P416,[Blocked by external evidence] independent calibrated photonic pilot,,"Code cannot create independent custody, calibration, apparatus output, a physical clock, or blinded data."
P417,[Strong evidence] improved primal atlas and exact ideal-boundary closure; [Open] noisy SDP dual certificate,O148 noisy comb primal-dual-gap atlas,"The unrestricted noisy adaptive comb, ancillas, mixed inputs, and full twelve-mode channel remain outside this result."
P418,[Strong evidence] erasure-aware symmetric codes strictly improve the two baseline families,O149 heralded erasure-aware symmetric code,The optimization is numerical and symmetry-restricted; it is not a general quantum erasure-code or adaptive-comb theorem.
P419,[Strong evidence] optimized full twelve-mode one-use inputs; [Open] multi-use adaptive gap below 1e-3,O150 twelve-mode noise-adapted simplex,The dephasing and heralded survival laws are supplied. One-use pure-state optimization is not a full process-comb certificate.
P420,[Blocked by external evidence] traceable physical clock anchor,,"Code cannot create independent custody, calibration, apparatus output, a physical clock, or blinded data."
P421,[Blocked by external evidence] external event-level JSR execution,,"Code cannot create independent custody, calibration, apparatus output, a physical clock, or blinded data."
P422,[Proven] variance-optimal unbiased sampler for the declared equal-weight twelve-moment loss,O151 variance-optimal JSR sampling law,Optimality is tied to the declared twelve moments and equal loss weights. It is not apparatus efficiency or a universal physical sampler.
P423,[Proven] conditional reference-frame resource ledger; [Refuted] free classical sign creates U(1) coherence,O152 phase-reference conversion ledger,The aligned phase origin and polarity are supplied resources. Swapping the encoding leaves costs invariant and QW-2191 open.
P424,[Proven] nonzero inversion-odd JSR record current; [Refuted] nonconventional strict selector source,O153 oriented JSR record current,"The coordinate orientation x increasing from 0 to 1 is supplied. Reversing that chart flips the sign, so the object is an oriented receiver/record, not an internal polarity source."
P425,[Proven] the three declared conditional scale sections are inequivalent under a shared control coordinate,O154 conditional scale-section comparison groupoid,A nonlinear redefinition of the external control can map any monotone section to another. No section is canonical without physical semantics and calibration for that control.
P426,"[Blocked by external evidence] independent QW, standards, and reservoir admission campaign",,"Code cannot create independent custody, calibration, apparatus output, a physical clock, or blinded data."
P427,[Blocked by external evidence] blinded electroweak role-transfer test,,"Code cannot create independent custody, calibration, apparatus output, a physical clock, or blinded data."
