characteristic_id,characteristic,domain_id,domain,structural_score_0_4,shared_tags,mandatory_caveat
C01,strict oscillatory-damped kernel,D01,spectral graphs and quantum walks,2,finite;graph;spectral,Exact at the finite operator level; not a continuum or laboratory identification.
C01,strict oscillatory-damped kernel,D02,lattice Green functions and inverse field reconstruction,1,spectral,Exact for chosen quadratic operators; interaction and physical units are extra.
C01,strict oscillatory-damped kernel,D03,graph signal processing and wavelets,3,graph;nonlocal;oscillation;spectral,Strong filter analogy; it does not supply ontology or dynamics by itself.
C01,strict oscillatory-damped kernel,D04,"Kron reduction, Schur complements and multigrid",1,graph,Exact block algebra; closure inside the strict kernel family is separately false.
C01,strict oscillatory-damped kernel,D05,Mori-Zwanzig reduction and process tensors,0,,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C01,strict oscillatory-damped kernel,D06,resource theory of asymmetry,0,,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C01,strict oscillatory-damped kernel,D07,stochastic thermodynamics and feedback,0,,"Requires bath, temperature, energy scale and reset ledger."
C01,strict oscillatory-damped kernel,D08,information geometry and diffusion maps,0,,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C01,strict oscillatory-damped kernel,D09,noncommutative geometry and spectral action,1,spectral,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C01,strict oscillatory-damped kernel,D10,renormalization and stable fractional limits,1,damping;nonlocal,Possible universality language; the audited strict family is not Schur-closed.
C01,strict oscillatory-damped kernel,D11,"control, observability and process tomography",0,,"Operationally exact when preparations, clock and POVM are supplied."
C01,strict oscillatory-damped kernel,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C01,strict oscillatory-damped kernel,D13,"topological phases, cohomology and holonomy",0,,Correct language for orientation carriers; no automatic signed section.
C01,strict oscillatory-damped kernel,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C01,strict oscillatory-damped kernel,D15,statistical field theory and random operators,1,spectral,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C02,legacy intermediate bridge profile,D01,spectral graphs and quantum walks,0,,Exact at the finite operator level; not a continuum or laboratory identification.
C02,legacy intermediate bridge profile,D02,lattice Green functions and inverse field reconstruction,1,green,Exact for chosen quadratic operators; interaction and physical units are extra.
C02,legacy intermediate bridge profile,D03,graph signal processing and wavelets,0,,Strong filter analogy; it does not supply ontology or dynamics by itself.
C02,legacy intermediate bridge profile,D04,"Kron reduction, Schur complements and multigrid",0,,Exact block algebra; closure inside the strict kernel family is separately false.
C02,legacy intermediate bridge profile,D05,Mori-Zwanzig reduction and process tensors,0,,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C02,legacy intermediate bridge profile,D06,resource theory of asymmetry,0,,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C02,legacy intermediate bridge profile,D07,stochastic thermodynamics and feedback,1,information,"Requires bath, temperature, energy scale and reset ledger."
C02,legacy intermediate bridge profile,D08,information geometry and diffusion maps,1,information,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C02,legacy intermediate bridge profile,D09,noncommutative geometry and spectral action,0,,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C02,legacy intermediate bridge profile,D10,renormalization and stable fractional limits,1,damping,Possible universality language; the audited strict family is not Schur-closed.
