program,status,object,boundary
ST2427,Proven,Delta2 x I,Exact object.
ST2428,Accepted conditional,LocalRole,Already-selected triangle refinement.
ST2429,Rejected strict,GlobalRole,No canonical global decomposition.
ST2430,Proven,EmbeddingNoGo,"55,440 embeddings and D12 degeneracy."
ST2431,Proven,ScoreNoGo,Natural scores disagree.
ST2432,Proven,LayerArrowNoGo,D3h exchanges bases.
ST2433,Boundary,TernaryBoundary,Transports tau/parity but does not create it.
ST2434,Boundary,HodgeBoundary,Two face weights remain.
ST2435,Boundary,ScaleBoundary,"a,h and continuum absent."
ST2436,Proven,Z12Boundary,"Six vertices, not full Z12."
ST2437,Gate constructed,UpdatedGate,Ten-row gate.
ST2438,Gate result,GateScore,Three conditional mathematical rows pass.
ST2439,Stop rules,StopRules,Do not identify local cell with universe or import top/bottom clock.
ST2440,Final verdict,FinalInterpretation,"Important conditional local cell, not missing fundamental principle."
ST2441,Cycle complete,CycleReportTrigger,Six prism rounds complete.
