program,status,principal_result
P267,[Proven] uniqueness; [Strong evidence] local noisy recovery,unique visible atomic Stieltjes measure; local noise stability quantified
P268,[Proven] algebraic theorem with executable finite certificate,"executable Schur-category core; 50,000 composition chains"
P269,[Proven] minimal outcome count in the five-current subspace; [Strong evidence] shot audit,minimal six-outcome POVM for five current observables
P270,[Proven] rank-defect no-go for linear isometric liftings,rank-defect no-go for linear size-restoring liftings
P271,[Proven] conditional quantum-information theorem with finite audit,quantum process information ledger under a supplied instrument
P272,[Proven] one-atom positive-shift completion test,positive-shift atom repairs PSD but not strict spectral/memory shape
P273,[Executed no-admission certificate: external evidence absent],no external P241 evidence; P242 remains unauthorized
P274,[Strong evidence] synthetic two-flux noise-bias design,two-flux tomography has an interior bias-noise optimum
P275,[Proven] deterministic exclusion bound for the frozen finite null set,analytic exclusion radii for 400 frozen null fingerprints
P276,[Proven] two-time semigroup consistency theorem and finite witnesses,two-time logarithmic semigroup consistency theorem
P277,[Proven] identifiability inside the frozen linear family; [Strong evidence] synthetic holdout,interventions identify the true law within a frozen finite panel
P278,[Strong evidence] preregistered synthetic nonlinear benchmark,four-task nonlinear matched-reservoir benchmark
P279,[Proven] conditioned thermodynamic identity,"information becomes free energy only under supplied H,T,k_B"
P280,[Proven] conditioned product-torsor construction,conditional product section of independent scale/orientation torsors
