pair_id,pair,domain_id,domain,structural_score_0_4,touches_both_puzzles,shared_tags,mandatory_caveat
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D01,spectral graphs and quantum walks,1,False,finite;graph;spectral,Exact at the finite operator level; not a continuum or laboratory identification.
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D02,lattice Green functions and inverse field reconstruction,1,True,green;spectral,Exact for chosen quadratic operators; interaction and physical units are extra.
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D03,graph signal processing and wavelets,2,False,graph;nonlocal;oscillation;spectral,Strong filter analogy; it does not supply ontology or dynamics by itself.
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D04,"Kron reduction, Schur complements and multigrid",0,False,graph,Exact block algebra; closure inside the strict kernel family is separately false.
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D05,Mori-Zwanzig reduction and process tensors,0,False,,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D06,resource theory of asymmetry,0,False,,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D07,stochastic thermodynamics and feedback,0,False,information,"Requires bath, temperature, energy scale and reset ledger."
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D08,information geometry and diffusion maps,0,False,information,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D09,noncommutative geometry and spectral action,0,False,spectral,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D10,renormalization and stable fractional limits,1,True,damping;nonlocal,Possible universality language; the audited strict family is not Schur-closed.
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D11,"control, observability and process tomography",0,False,,"Operationally exact when preparations, clock and POVM are supplied."
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D12,adaptive neural operators and reservoir memory,0,False,,Mechanistic analogy; training objective and data provenance are not derived.
C01+C02,strict oscillatory-damped kernel + legacy intermediate bridge profile,D13,"topological phases, cohomology and holonomy",0,False,phase,Correct language for orientation carriers; no automatic signed section.
