program,object,status
ST248,Strict-Core Preparation-Source No-Go,proven_no_go_for_deterministic_D12_natural_state_from_A_alone
ST249,Complete Linear D12-Natural Typed Second-Operator Classification,proven_seven_dimensional_linear_equivariant_classification
ST250,Extended All-Branch Continuation with Explicit Resource Stop,proven_360_new_local_boxes_and_finite_30_component_graph
ST251,Exact Recovery for a Rational Rotated Amplitude-Damping Channel,proven_global_CPTP_optimum_for_non_diagonal_nonunital_channel
ST252,Selector Cost with Endpoint Preparation and Finite-Rate Actuation,strong_numerical_feasible_augmented_selector_cost
ST253,Canonical Flat Connection on the Mean-Zero Strict Amplitude Carrier,proven_connection_conditional_on_affine_mean_zero_amplitude_carrier
ST254,Complete Halfwidth-0.0005 Nuisance Cover,proven_complete_21952_box_cover
ST255,Exact Finite-Sample Efficient Fourier-Mode Estimators,proven_exact_finite_sample_efficiency_in_declared_local_multinomial_model
ST256,Global Joint Clifford Uniqueness for the Aligned Two-Gap Class,proven_global_joint_uniqueness_for_aligned_positive_two_gap_targets
ST257,Outward Belief-Transfer Spectral-Radius Enclosure,proven_global_interval_spectral_radius_enclosure
ST258,Pulse-Controller and Finite-Temperature Blank Ledger,proven_ideal_pulse_identity_and_finite_temperature_reset_error_law
ST259,D12-Local Graph-Laplacian Refinement Cone,proven_seven_dimensional_local_positive_refinement_classification
ST260,Log-Haar Fiber-Rate Measure and Spectral-Dimension Plateau,proven_conditional_scale_invariant_plateau_theorem_with_finite_dyadic_replay
ST261,Operational Completeness and No-Go for Refinement Observables,proven_coarse_indistinguishability_and_complement_tomography_theorem
ST262,External Validation Evidence Stop,blocked_no_external_record
