program,status,main_finding
ST01,proven_schema_and_composition_bound,typed shadow certificate and composition bound
ST02,proven_round_trip_and_executable_falsifier,common-generator round trip accepts; altered and aliased controls reject
ST03,strong_multiclass_null_falsification_and_isospectral_no_go,isospectral rotations destroy geometry; no physics-specific invariant found
ST04,proven_conditional_minimal_completion_with_selector_cost,one distinct vertex-label observable completes M12 but imports a selector
ST05,proven_nonidentifiability_and_naive_extension_markov_obstruction,A12 admits inequivalent continuum continuations; direct tail loses Markov positivity
ST06,proven_no_exact_cyclic_causal_cone_for_frozen_strict_kernel,strict all-distance coupling forbids an exact nontrivial cyclic causal cone
ST07,proven_conditional_bridge_and_scale_nonidentifiability,"relative entropy becomes free energy only after H, beta, process and units"
ST08,proven_conditional_U1_receiver,U(1) covariance and holonomy work only for inserted link variables
ST09,proven_axiomatic_global_coercive_completion,constructed saturating mediator is globally coercive but not FIN-derived
ST10,partial_exact_structure_strong_numerical_transition_no_exact_Krein_closure,Hamiltonian structure verified; exact Krein stability closure remains open
ST11,proven_exact_gaussian_scheme_independence_and_truncation_dependence,exact Schur elimination is associative; truncation restores scheme dependence
ST12,proven_gate_failure_role_audit_not_admissible,legacy physical-role audit remains blocked before completion and role transfer
ST13,proven_synthetic_pipeline_validation,heat-calibrated synthetic cross-channel pipeline passes without refit
ST14,passed_preregistered_implementation_fingerprint_but_failed_physical_prediction_requirement,hashed kernel fingerprint passes holdout but is not a physical prediction
ST15,passed_exact_symbolic_and_numerical_replay_with_explicit_trust_boundary,formal-core exact/symbolic replay passes within its stated trust boundary
