generation3_id,inputs,higher_object,mechanism,status
G01,O01+O02,Dynamic Effective Action Bundle,A Stieltjes self-energy plus its exact source-response action,[Proven]
G02,O01+O03+O12,Stieltjes-Schur Context Functor,A context diagram whose reductions compose and whose self-energies are completely monotone,[Proven]
G03,O04+O05+O14,Chiral Memory Resource Bundle,An inversion-odd tangent response with an explicit asymmetry budget; still no source sign,[Strong evidence]
G04,O06+O12,Memory-Diffusion Geometry Tower,Intrinsic geometry indexed jointly by diffusion time and hidden-layer depth,[Moderate evidence]
G05,O07+O08,Calibrated Fingerprint Bundle,A scale-free prediction plus an explicitly external calibration section,[Proven]
G06,O09+O10,Operational Information-Balance Tensor,Multi-time record distinguishability with a channel-by-channel contraction ledger,[Moderate evidence]
G07,O01+O11,Adaptive Self-Energy Flow,A learned trajectory in operator-valued Stieltjes space,[Speculative]
G08,O12+O13,Dynamic Completion-Defect Tower,Tests whether a bridge obstruction is static or persists through exact memory reduction,[Moderate evidence]
G09,O03+O14+O15,Equivariant Context-Resource Diagram,"Separate context restrictions, scale sections and orientation resources; no automatic global section",[Speculative]
G10,O05+O09,Signed Information-Loss Susceptibility,Derivative of operational information contraction under a chiral flux perturbation,[Speculative]
